SKU,Name,UPCBarcode,Price,ImageURL
BT7160-1-MNDR-XS,Elsie Top,9360263063701,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_Mandarin_1.jpg
BT7160-1-MNDR-S,Elsie Top,9360263063718,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_Mandarin_1.jpg
BT7160-1-MNDR-M,Elsie Top,9360263063725,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_Mandarin_1.jpg
BT7160-1-MNDR-L,Elsie Top,9360263063732,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_Mandarin_1.jpg
BT7160-1-MNDR-XL,Elsie Top,9360263063749,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_Mandarin_1.jpg
BT7161-1-BLK-XS,Callie Top,9360263063855,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7161-1_Callie Top_Black_1.jpg
BT7161-1-BLK-S,Callie Top,9360263063862,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7161-1_Callie Top_Black_1.jpg
BT7161-1-BLK-M,Callie Top,9360263063879,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7161-1_Callie Top_Black_1.jpg
BT7161-1-BLK-L,Callie Top,9360263063886,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7161-1_Callie Top_Black_1.jpg
BT7161-1-BLK-XL,Callie Top,9360263063893,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7161-1_Callie Top_Black_1.jpg
BT7186-2-BLK-XS,Como Jacket,9360263065415,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7186-2_Como Jacket_Black_1.jpg
BT7186-2-BLK-S,Como Jacket,9360263065422,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7186-2_Como Jacket_Black_1.jpg
BT7186-2-BLK-M,Como Jacket,9360263065439,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7186-2_Como Jacket_Black_1.jpg
BT7186-2-BLK-L,Como Jacket,9360263065446,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7186-2_Como Jacket_Black_1.jpg
BT7186-2-BLK-XL,Como Jacket,9360263065453,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7186-2_Como Jacket_Black_1.jpg
BT7188-2-BLK-XS,Avi Top,9360263065613,59,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7188-2_Avi Top_Black_1.jpg
BT7188-2-BLK-S,Avi Top,9360263065620,59,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7188-2_Avi Top_Black_1.jpg
BT7188-2-BLK-M,Avi Top,9360263065637,59,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7188-2_Avi Top_Black_1.jpg
BT7188-2-BLK-L,Avi Top,9360263065644,59,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7188-2_Avi Top_Black_1.jpg
BT7188-2-BLK-XL,Avi Top,9360263065651,59,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7188-2_Avi Top_Black_1.jpg
BT7191-2-BLK-XS,Chantal Dress,9360263065767,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7191-2_Chantal Dress_Black_1.jpg
BT7191-2-BLK-S,Chantal Dress,9360263065774,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7191-2_Chantal Dress_Black_1.jpg
BT7191-2-BLK-M,Chantal Dress,9360263065781,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7191-2_Chantal Dress_Black_1.jpg
BT7191-2-BLK-L,Chantal Dress,9360263065798,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7191-2_Chantal Dress_Black_1.jpg
BT7191-2-BLK-XL,Chantal Dress,9360263065804,79,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7191-2_Chantal Dress_Black_1.jpg
BT7226-2-BLK-XS,Liza Pant,9360263067365,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7226-2_Liza Pant_Black_1.jpg
BT7226-2-BLK-S,Liza Pant,9360263067372,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7226-2_Liza Pant_Black_1.jpg
BT7226-2-BLK-M,Liza Pant,9360263067389,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7226-2_Liza Pant_Black_1.jpg
BT7226-2-BLK-L,Liza Pant,9360263067396,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7226-2_Liza Pant_Black_1.jpg
BT7226-2-BLK-XL,Liza Pant,9360263067402,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7226-2_Liza Pant_Black_1.jpg
BT7242-1-BLK-XS,Montana Sleeveless Top,9360263068621,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7242-1_Montana Sleeveless Top_Black_1.jpg
BT7242-1-BLK-S,Montana Sleeveless Top,9360263068638,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7242-1_Montana Sleeveless Top_Black_1.jpg
BT7242-1-BLK-M,Montana Sleeveless Top,9360263068645,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7242-1_Montana Sleeveless Top_Black_1.jpg
BT7242-1-BLK-L,Montana Sleeveless Top,9360263068652,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7242-1_Montana Sleeveless Top_Black_1.jpg
BT7242-1-BLK-XL,Montana Sleeveless Top,9360263068669,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7242-1_Montana Sleeveless Top_Black_1.jpg
BT7287-1-BLK-XS,Allia Dress,9360263070402,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7287-1_Allia Dress_Black_1.jpg
BT7287-1-BLK-S,Allia Dress,9360263070419,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7287-1_Allia Dress_Black_1.jpg
BT7287-1-BLK-M,Allia Dress,9360263070426,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7287-1_Allia Dress_Black_1.jpg
BT7287-1-BLK-L,Allia Dress,9360263070433,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7287-1_Allia Dress_Black_1.jpg
BT7287-1-BLK-XL,Allia Dress,9360263070440,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7287-1_Allia Dress_Black_1.jpg
BT7287-1-MNDR-XS,Allia Dress,9360263070457,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7287-1_Allia Dress_Mandarin_1.jpg
BT7287-1-MNDR-S,Allia Dress,9360263070464,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7287-1_Allia Dress_Mandarin_1.jpg
BT7287-1-MNDR-M,Allia Dress,9360263070471,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7287-1_Allia Dress_Mandarin_1.jpg
BT7287-1-MNDR-L,Allia Dress,9360263070488,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7287-1_Allia Dress_Mandarin_1.jpg
BT7287-1-MNDR-XL,Allia Dress,9360263070495,69,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7287-1_Allia Dress_Mandarin_1.jpg
BT7216-1-MIDN-XS,Fleur Top,9360263066566,59,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7216-1_Fleur Top_Midnight Stripe_1.jpg
BT7216-1-MIDN-S,Fleur Top,9360263066573,59,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7216-1_Fleur Top_Midnight Stripe_1.jpg
BT7216-1-MIDN-M,Fleur Top,9360263066580,59,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7216-1_Fleur Top_Midnight Stripe_1.jpg
BT7216-1-MIDN-L,Fleur Top,9360263066597,59,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7216-1_Fleur Top_Midnight Stripe_1.jpg
HA25367-BLU-OS,Stripe Notebook,9360263319990,13.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HA25367_Stripe Notebook_Blue W Yellow_1.jpg
HA25367-PNK-OS,Stripe Notebook,9360263320002,13.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HA25367_Stripe Notebook_Pink W Orange_1.jpg
HA25367-RED-OS,Stripe Notebook,9360263320019,13.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HA25367_Stripe Notebook_Red W White_1.jpg
HA25401-BLK-OS,Paparazzi Sunglasses,9360263320248,12.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HA25401_Paparazzi Sunglasses_Black_1.jpg
HA25401-BRWN-OS,Paparazzi Sunglasses,9360263298486,12.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HA25401_Paparazzi Sunglasses_Brown_1.jpg
HA25404-BLK-OS,Beverly Sunglasses,9360263320309,12.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HA25404_Beverly Sunglasses_Black_1.jpg
HA25404-BLKORA-OS,Beverly Sunglasses,9360263320316,12.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HA25404_Beverly Sunglasses_Black W Orange_1.jpg
HA25366-LIL-OS,Amour Notebook,9360263319983,6.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HA25366_Amour Notebook_Lilac W Orange_1.jpg
HJ25250-GLD-OS,Catrell Choker,9360263320873,15,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HJ25250_Catrell Choker_Gold_1.jpg
HJ25250-SILV-OS,Catrell Choker,9360263320880,15,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HJ25250_Catrell Choker_Silver_1.jpg
HJ25494-GLD-OS,Dahlia Earrings,9360263322747,11.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HJ25494_Dahlia Earrings_Gold_1.jpg
HJ25494-SILV-OS,Dahlia Earrings,9360263322754,11.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HJ25494_Dahlia Earrings_Silver_1.jpg
HJ25392-GLD-OS,Playa Earrings,9360263322372,8.5,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/HJ25392_Playa Earrings_Gold_1.jpg
TA25225-2-NVY-SM,Yellowstone Shirt,9360263324093,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25225-2_Yellowstone Shirt_Navy Blue Stripe_1.jpg
TA25225-2-NVY-ML,Yellowstone Shirt,9360263324109,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25225-2_Yellowstone Shirt_Navy Blue Stripe_1.jpg
TA25225-2-PNK-SM,Yellowstone Shirt,9360263324116,49,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/TA25225-2_Yellowstone Shirt_Pink Stripe_1.jpg
